CHSI_County_Name;CHSI_State_Name;CHSI_State_Abbr;Strata_ID_Number;Strata_Determining_Factors;Number_Counties;Population_Size;Population_Density;Poverty;Age_19_Under;Age_19_64;Age_65_84;Age_85_and_Over;White;Black;Native_American;Asian;Hispanic
Washington;Georgia;GA;68;frontier status, population size, poverty, age, population density;34;20118;30;19.5;26.7;59.8;11.6;1.9;46.1;53.3;0.2;0.3;0.7
Wayne;Georgia;GA;51;frontier status, population size, poverty, age, population density;33;28390;44;17.5;26.2;62.5;10.1;1.1;78.4;20.2;0.2;0.6;4.4
Webster;Georgia;GA;42;frontier status, population size, poverty, age;53;2289;11;17.2;24.5;60.8;12.5;2.2;52.9;47;0;0;4.3
Wheeler;Georgia;GA;75;frontier status, population size, poverty, age, population density;37;6706;23;24;20.9;68.9;8.4;1.8;65.4;33.6;0.7;0.1;4.6
White;Georgia;GA;60;frontier status, population size, poverty, age, population density;48;24055;100;11.8;23.6;61.5;13.5;1.4;95.5;2.2;0.3;1.1;2.4
Whitfield;Georgia;GA;20;frontier status, population size, poverty, age;32;90889;313;12.1;30.2;59.4;9.3;1.1;93.3;3.9;0.5;1.4;27.9
Wilcox;Georgia;GA;75;frontier status, population size, poverty, age, population density;37;8721;23;22.2;22.3;63.8;11.8;2.1;63.4;36.3;0.1;0.2;1.5
Wilkes;Georgia;GA;71;frontier status, population size, poverty, age, population density;33;10457;22;16.9;23.6;59.1;14.6;2.6;56.8;42.2;0.2;0.4;2.5
Wilkinson;Georgia;GA;42;frontier status, population size, poverty, age;53;10143;23;15.2;26.7;59.7;12.2;1.4;58.8;40.7;0.2;0.1;1.7
Worth;Georgia;GA;69;frontier status, population size, poverty, age, population density;45;21996;39;17.4;27.1;59.7;11.5;1.6;69.1;29.9;0.3;0.3;1.2
Hawaii;Hawaii;HI;6;frontier status, population size, poverty;53;167293;42;13.1;26.7;60;11.3;2;35.9;0.7;0.5;36;6.4
Honolulu;Hawaii;HI;2;frontier status, population size, poverty;32;905266;1509;10.5;24.6;61.4;11.8;2.2;22.9;3;0.3;55.1;4.7
Kalawao;Hawaii;HI;37;frontier status, population size, poverty, age;30;111;8;-2222.2;1.4;82.3;11.7;4.5;41.4;0;0;55.9;5.4
Kauai;Hawaii;HI;18;frontier status, population size, poverty, age;20;62640;101;10.5;25.9;60;11.7;2.4;33.9;0.4;0.4;43.8;5.7
Maui;Hawaii;HI;12;frontier status, population size, poverty, age;57;139884;121;10.2;25.1;63.5;9.7;1.8;38.3;0.6;0.5;40.5;5.8
Ada;Idaho;ID;10;frontier status, population size, poverty, age;36;344727;327;9.3;26.6;64;8.1;1.4;94.6;0.8;0.7;2.1;5.3
Adams;Idaho;ID;80;frontier status, population size, poverty, age;41;3591;3;13.3;20.3;61.2;16.4;2.1;97.6;0.1;1.5;0.4;2.1
Bannock;Idaho;ID;20;frontier status, population size, poverty, age;32;78155;70;13.5;29.1;60.4;9.1;1.4;93.5;0.7;3.1;1.3;5.2
Bear Lake;Idaho;ID;40;frontier status, population size, poverty, age;62;6176;6;11.2;28.2;55.9;13.5;2.5;98.8;0.3;0.6;0.2;2.3
Benewah;Idaho;ID;42;frontier status, population size, poverty, age;53;9218;12;12.9;24.8;59.1;14;2.1;90.2;0.2;8;0.2;2
Bingham;Idaho;ID;33;frontier status, population size, poverty, age;41;43739;21;12.9;32.7;57;8.9;1.4;91.1;0.3;7;0.6;13.9
Blaine;Idaho;ID;37;frontier status, population size, poverty, age;30;21166;8;6.3;23.1;67.8;8.3;0.9;97.2;0.5;0.4;1;15.1
Boise;Idaho;ID;80;frontier status, population size, poverty, age;41;7535;4;10;23.5;64.9;10.6;1;97.6;0.1;0.9;0.3;3.6
Bonner;Idaho;ID;33;frontier status, population size, poverty, age;41;40908;24;13.4;22.5;63.6;12.4;1.5;97;0.2;1;0.4;1.8
Bonneville;Idaho;ID;20;frontier status, population size, poverty, age;32;91856;49;11.6;30.3;59.4;9;1.3;96.6;0.7;0.7;0.9;8.1
Boundary;Idaho;ID;42;frontier status, population size, poverty, age;53;10619;8;13.8;26.2;60.2;12.1;1.5;96.1;0.2;2.5;0.7;3.3
Butte;Idaho;ID;80;frontier status, population size, poverty, age;41;2808;1;14;27.9;55.6;14.4;2.1;98.1;0.4;0.6;0.2;4.8
Camas;Idaho;ID;78;frontier status, population size, poverty, age;43;1050;1;7.4;21.7;66;10.7;1.6;98.3;1;0.1;0.2;5.9
Canyon;Idaho;ID;6;frontier status, population size, poverty;53;164593;279;13.5;30.6;59.3;8.5;1.6;95.8;0.6;0.9;1;19.8
Caribou;Idaho;ID;78;frontier status, population size, poverty, age;43;7131;4;10;28.1;57.7;12.2;2;99.2;0;0.3;0.2;3.8
Cassia;Idaho;ID;42;frontier status, population size, poverty, age;53;21324;8;14.6;32.4;54.7;10.8;2.1;97.6;0.3;0.9;0.4;20.9
Clark;Idaho;ID;78;frontier status, population size, poverty, age;43;943;1;16.1;31;55;12.3;1.7;97.6;0.1;1.1;0.4;39.4
Clearwater;Idaho;ID;80;frontier status, population size, poverty, age;41;8373;3;12.8;19.7;61.5;16.9;1.9;96.3;0.3;1.8;0.4;1.7
Custer;Idaho;ID;80;frontier status, population size, poverty, age;41;4077;1;12;21.3;62.5;14.2;2;98.7;0;0.7;0;5.2
Elmore;Idaho;ID;39;frontier status, population size, poverty, age;51;28634;9;11.7;28.9;62.9;7.2;0.9;91.4;3.5;1;2;12.7
Franklin;Idaho;ID;39;frontier status, population size, poverty, age;51;12371;19;9.7;34.1;55;9.3;1.7;99.1;0.1;0.5;0.2;6.7
Fremont;Idaho;ID;83;frontier status, population size, poverty, age;29;12242;7;13.2;31.4;55.8;11.2;1.7;98;0.2;0.6;0.5;12.3
Gem;Idaho;ID;43;frontier status, population size, poverty, age;57;16273;29;11.8;25.7;58.4;13.1;2.7;97.4;0.1;1;0.4;7
Gooding;Idaho;ID;43;frontier status, population size, poverty, age;57;14461;20;11.7;28.8;56.4;12;2.7;98;0.3;0.9;0.3;20
Idaho;Idaho;ID;84;frontier status, population size, poverty, age;52;15697;2;15;22.2;60;15.5;2.4;95.1;0.1;3.2;0.4;1.7
Jefferson;Idaho;ID;39;frontier status, population size, poverty, age;51;21580;20;11;32.9;57.8;8;1.3;97.8;0.4;0.7;0.6;9.7
Jerome;Idaho;ID;42;frontier status, population size, poverty, age;53;19638;33;12.9;30.5;57.9;10;1.6;97.4;0.5;0.9;0.4;23.3
Kootenai;Idaho;ID;19;frontier status, population size, poverty, age;37;127668;103;10.4;25.6;61.4;11.3;1.8;96.4;0.3;1.3;0.6;2.9
Latah;Idaho;ID;28;frontier status, population size, poverty, age;39;34714;32;14;23.8;66.4;8.1;1.7;94.1;0.8;0.9;2.6;2.7
Lemhi;Idaho;ID;85;frontier status, population size, poverty, age;25;7909;2;13.4;22.4;59.6;15.6;2.5;98.3;0.1;0.6;0.1;2.8
Lewis;Idaho;ID;43;frontier status, population size, poverty, age;57;3750;8;12.3;23.3;55.7;17.9;3.1;94.2;0.4;4.5;0.6;2.6
Lincoln;Idaho;ID;83;frontier status, population size, poverty, age;29;4545;4;11.1;30;58.2;10.1;1.7;96.3;1.1;1.4;0.4;17.1
Madison;Idaho;ID;42;frontier status, population size, poverty, age;53;30975;66;15.5;36.5;57.4;5.3;0.8;97.3;0.4;0.4;1;4.2
Minidoka;Idaho;ID;42;frontier status, population size, poverty, age;53;19014;25;13.3;30.1;55.8;12.4;1.7;97.2;0.4;1.2;0.6;27.3
Nez Perce;Idaho;ID;30;frontier status, population size, poverty, age;57;37931;45;11.8;23.2;59.9;14.2;2.8;91.6;0.5;5.6;1;2
Oneida;Idaho;ID;82;frontier status, population size, poverty, age;37;4209;4;10.3;28.3;56.2;13.1;2.4;99.4;0.1;0.4;0.1;2.4
Owyhee;Idaho;ID;86;frontier status, population size, poverty, age;38;11073;1;16.2;29.4;57.4;11.4;1.8;95;0.2;2.9;0.7;22.5
Payette;Idaho;ID;43;frontier status, population size, poverty, age;57;22197;54;13.4;28.9;57.8;11.1;2.1;96.5;0.1;0.9;1;13.4
Power;Idaho;ID;83;frontier status, population size, poverty, age;29;7753;6;14.5;31.4;57.5;9.9;1.2;96;0.3;3.2;0.5;25.4
Shoshone;Idaho;ID;87;frontier status, population size, poverty, age;32;13157;5;16.6;21.5;59.6;16.5;2.4;96.8;0.1;1.5;0.3;2.3
Teton;Idaho;ID;38;frontier status, population size, poverty, age;35;7467;17;9;31.4;62.9;5.1;0.6;98.3;0.3;0.6;0.6;13.8
Twin Falls;Idaho;ID;20;frontier status, population size, poverty, age;32;69419;36;12.7;27.3;58.5;11.8;2.4;96.9;0.4;0.8;0.9;11.2
Valley;Idaho;ID;80;frontier status, population size, poverty, age;41;8332;2;9.7;20.9;63.9;13.9;1.3;98.2;0.2;0.7;0.4;2.8
Washington;Idaho;ID;43;frontier status, population size, poverty, age;57;10098;7;13.8;25.5;55.8;15.9;2.8;97.1;0.2;0.8;1.3;16
Adams;Illinois;IL;21;frontier status, population size, poverty, age;44;67040;78;11.2;24.9;57.7;14.5;2.9;95.2;3.3;0.2;0.5;0.9
Alexander;Illinois;IL;76;frontier status, population size, poverty, age, population density;38;8927;38;22.2;26.1;56.1;14.9;2.8;63.9;34.8;0.2;0.5;1.7
Bond;Illinois;IL;60;frontier status, population size, poverty, age, population density;48;18027;47;10.8;23;63;11.9;2.2;91.7;7.1;0.5;0.4;1.6
Boone;Illinois;IL;48;frontier status, population size, poverty, age, population density;31;50483;179;7.7;27.7;61.9;8.9;1.5;95.8;1.7;0.5;0.9;16.8
Brown;Illinois;IL;59;frontier status, population size, poverty, age, population density;32;6835;22;11.6;17.8;69.6;10;2.5;80.9;18.7;0;0.3;4.4
Bureau;Illinois;IL;27;frontier status, population size, poverty, age;25;35330;41;8.6;24.5;58.1;14.3;3.1;98.1;0.6;0.2;0.6;6.1
Calhoun;Illinois;IL;59;frontier status, population size, poverty, age, population density;32;5163;20;8.6;21.9;59.3;16.2;2.6;99;0.1;0.3;0.3;0.8
Carroll;Illinois;IL;55;frontier status, population size, poverty, age, population density;47;16086;36;9.8;22.5;57.7;16.6;3.2;97.9;0.9;0.1;0.5;2.5
Cass;Illinois;IL;60;frontier status, population size, poverty, age, population density;48;13898;37;10.5;25.5;59;13.4;2.1;97.9;1.1;0.1;0.5;15.1
Champaign;Illinois;IL;14;frontier status, population size, poverty, age;40;184905;185;12.6;25.2;64.8;8.5;1.5;78.7;11.2;0.3;7.9;3.8
Christian;Illinois;IL;26;frontier status, population size, poverty, age;40;35176;50;10.5;23.6;59.9;13.6;2.9;96.4;2.5;0.2;0.6;1.1
Clark;Illinois;IL;60;frontier status, population size, poverty, age, population density;48;16976;34;10.3;24;59;14.3;2.7;98.9;0.4;0.1;0.2;0.5
Clay;Illinois;IL;60;frontier status, population size, poverty, age, population density;48;14122;30;11.8;23.9;57.3;15;3.8;98.6;0.2;0.3;0.7;0.8
Clinton;Illinois;IL;47;frontier status, population size, poverty, age, population density;34;36095;76;7.4;23.6;61.6;12.7;2.1;95.1;4;0.2;0.4;2
Coles;Illinois;IL;19;frontier status, population size, poverty, age;37;51065;100;13.2;22.2;64;11.6;2.2;95.5;2.4;0.3;1.1;1.8
Cook;Illinois;IL;1;frontier status, population size;34;5303683;5608;14.5;27.1;61.2;9.9;1.8;66.6;26.4;0.4;5.5;22.1
Crawford;Illinois;IL;55;frontier status, population size, poverty, age, population density;47;19898;45;11.7;22.1;61.4;14.1;2.5;94.1;4.8;0.3;0.4;2
Cumberland;Illinois;IL;57;frontier status, population size, poverty, age, population density;42;10973;32;10.1;25.1;59.2;13.2;2.5;99;0.3;0.2;0.2;0.6
DeKalb;Illinois;IL;17;frontier status, population size, poverty, age;32;97665;154;9.3;25.5;65;8.1;1.5;90.8;5;0.2;2.8;8.4
De Witt;Illinois;IL;55;frontier status, population size, poverty, age, population density;47;16617;42;9.9;24.5;59.7;13.6;2.2;98.2;0.7;0.2;0.4;1.5
Douglas;Illinois;IL;57;frontier status, population size, poverty, age, population density;42;19950;48;8.1;26.9;57.1;13.6;2.5;98.4;0.5;0.2;0.5;4.9
DuPage;Illinois;IL;2;frontier status, population size, poverty;32;929113;2785;5.9;26.9;62.8;8.9;1.3;84.8;4.1;0.2;9.7;11.3
Edgar;Illinois;IL;60;frontier status, population size, poverty, age, population density;48;19157;31;11.6;22.6;59.7;14.5;3.3;97.3;2;0.2;0.3;0.9
Edwards;Illinois;IL;55;frontier status, population size, poverty, age, population density;47;6784;31;9.2;22.9;58.5;15.4;3.3;99.1;0.2;0;0.6;0.5
Effingham;Illinois;IL;47;frontier status, population size, poverty, age, population density;34;34581;72;8.9;27.3;58.3;12;2.3;98.8;0.3;0.2;0.4;1.1
Fayette;Illinois;IL;60;frontier status, population size, poverty, age, population density;48;21713;30;13.1;23.2;61.4;13.2;2.2;94.7;4.8;0;0.2;1.1
Ford;Illinois;IL;55;frontier status, population size, poverty, age, population density;47;14157;29;8.2;24.9;57.2;14.9;2.9;98.5;0.5;0;0.5;1.5
Franklin;Illinois;IL;50;frontier status, population size, poverty, age, population density;27;39723;96;14.8;23;58.8;14.9;3.3;98.8;0.3;0.2;0.2;1
Fulton;Illinois;IL;30;frontier status, population size, poverty, age;57;37708;44;11.3;21.9;60.1;14.9;3.1;95.2;3.8;0.3;0.3;1.4
Gallatin;Illinois;IL;62;frontier status, population size, poverty, age, population density;32;6152;19;15.8;22.6;59;15;3.5;99.2;0.3;0.4;0;0.8
Greene;Illinois;IL;40;frontier status, population size, poverty, age;62;14581;27;12.2;25.1;57.9;13.9;3.1;98.3;0.9;0.2;0.2;0.7
Grundy;Illinois;IL;48;frontier status, population size, poverty, age, population density;31;43838;104;6.1;25.3;63.5;9.5;1.7;97.3;1;0.2;0.6;6.2
Hamilton;Illinois;IL;62;frontier status, population size, poverty, age, population density;32;8301;19;12.2;23.3;57.7;15.3;3.7;98.7;0.6;0.3;0.2;1
Hancock;Illinois;IL;55;frontier status, population size, poverty, age, population density;47;19153;24;9.8;23;58.1;15.4;3.4;98.9;0.4;0.2;0.2;0.5
Hardin;Illinois;IL;72;frontier status, population size, poverty, age, population density;32;4718;26;14.8;20.1;61.6;15.9;2.3;97.1;2.2;0;0.6;1.2
Henderson;Illinois;IL;54;frontier status, population size, poverty, age, population density;38;7972;21;10.2;21.1;61.6;15.5;1.8;99.1;0.3;0.1;0.1;0.9
Henry;Illinois;IL;18;frontier status, population size, poverty, age;20;50591;61;8.3;24.1;59.7;13.3;2.9;97.4;1.3;0.1;0.4;3.4
Iroquois;Illinois;IL;27;frontier status, population size, poverty, age;25;30677;27;9.9;24.3;57.6;15.1;3;97.7;1;0.3;0.5;4.8
Jackson;Illinois;IL;8;frontier status, population size, poverty;54;57954;99;19.3;21.9;66.9;9.2;2;81.2;12.6;0.3;4.3;2.9
Jasper;Illinois;IL;56;frontier status, population size, poverty, age, population density;39;10020;20;10.1;24.9;58.6;13.7;2.8;99.4;0.2;0.1;0.2;0.6
Jefferson;Illinois;IL;34;frontier status, population size, poverty, age;22;40434;71;13.7;23.9;61;12.5;2.6;89.8;8.4;0.1;0.7;1.5
Jersey;Illinois;IL;38;frontier status, population size, poverty, age;35;22456;61;8.4;24;61.3;12.6;2;97.9;1;0.1;0.4;0.9
Jo Daviess;Illinois;IL;57;frontier status, population size, poverty, age, population density;42;22580;38;7.6;21.9;58.9;16.4;2.8;98.8;0.4;0.2;0.2;2.4
Johnson;Illinois;IL;64;frontier status, population size, poverty, age, population density;41;13169;38;12.7;19.6;66.7;12.1;1.6;86.9;12.3;0.2;0.3;3
Kane;Illinois;IL;10;frontier status, population size, poverty, age;36;482113;926;7.4;30.4;61.5;7;1.1;89.9;5.6;0.4;2.9;27.3
Kankakee;Illinois;IL;15;frontier status, population size, poverty, age;23;107972;160;11.3;27.3;59.8;11.2;1.7;82.6;15.2;0.2;0.9;6.4
Kendall;Illinois;IL;48;frontier status, population size, poverty, age, population density;31;79514;248;4.1;27.7;64.4;6.8;1.1;93.6;3.1;0.2;1.9;12.6
Knox;Illinois;IL;21;frontier status, population size, poverty, age;44;53309;74;12.7;22.9;59.5;14.9;2.7;90.6;7.2;0.2;0.8;3.8
Lake;Illinois;IL;2;frontier status, population size, poverty;32;702682;1570;6.9;29.7;61.4;8;1;85.9;6.8;0.3;5.5;18
La Salle;Illinois;IL;13;frontier status, population size, poverty, age;16;112604;99;10.2;24.8;59.3;13.2;2.7;96.8;1.7;0.2;0.7;6.4
Lawrence;Illinois;IL;60;frontier status, population size, poverty, age, population density;48;15930;43;12.5;21.4;60.4;15.2;2.9;95.2;4.1;0;0.1;1.4
Lee;Illinois;IL;25;frontier status, population size, poverty, age;21;35669;49;8.8;23.1;61.9;12.6;2.4;93.9;4.6;0.1;0.8;4
Livingston;Illinois;IL;26;frontier status, population size, poverty, age;40;39186;38;9.7;24.8;60;12.6;2.6;93.6;5.4;0.2;0.3;2.8
Logan;Illinois;IL;26;frontier status, population size, poverty, age;40;30603;50;10.5;22.8;62.3;12.5;2.4;91.8;6.9;0.2;0.8;1.8
McDonough;Illinois;IL;50;frontier status, population size, poverty, age, population density;27;31966;54;15.9;21.5;64.7;11.3;2.5;92;4.3;0.1;2.8;1.8
McHenry;Illinois;IL;12;frontier status, population size, poverty, age;57;303990;504;4.5;28.5;62.6;7.7;1.2;95.5;0.9;0.2;2.5;10
McLean;Illinois;IL;11;frontier status, population size, poverty, age;44;159013;134;9.4;25.7;64.5;8.2;1.5;89.3;6.5;0.1;2.7;3.1
Macon;Illinois;IL;15;frontier status, population size, poverty, age;23;110167;190;13.5;25.5;58.8;13.3;2.4;82.8;14.6;0.2;0.9;1.2
Macoupin;Illinois;IL;31;frontier status, population size, poverty, age;22;49111;57;10.3;23.8;59.4;13.9;2.9;98;1;0.2;0.3;0.7
Madison;Illinois;IL;4;frontier status, population size, poverty;25;264309;365;10.6;25;61.1;11.9;2;90.2;7.9;0.3;0.7;1.9
Marion;Illinois;IL;34;frontier status, population size, poverty, age;22;40144;70;13.6;25.1;57.7;14.1;3.1;94.1;4;0.2;0.7;1
Marshall;Illinois;IL;55;frontier status, population size, poverty, age, population density;47;13217;34;7.9;23.2;58.8;15.4;2.6;98.5;0.5;0.2;0.3;1.8
Mason;Illinois;IL;40;frontier status, population size, poverty, age;62;15741;29;11;24;58.7;14.6;2.7;98.9;0.3;0.3;0.3;0.6
Massac;Illinois;IL;65;frontier status, population size, poverty, age, population density;30;15348;64;13.2;23.7;58.5;15.2;2.7;92.8;6.1;0.1;0.2;1.1
Menard;Illinois;IL;57;frontier status, population size, poverty, age, population density;42;12738;41;8.5;24.8;60.9;12.4;2;98.9;0.5;0.2;0.2;0.9
Mercer;Illinois;IL;57;frontier status, population size, poverty, age, population density;42;16912;30;8.7;23.6;59.9;14.2;2.3;98.9;0.5;0.1;0.2;1.4
Monroe;Illinois;IL;47;frontier status, population size, poverty, age, population density;34;31040;80;4.1;24.5;62.4;11.4;1.7;99;0.2;0.2;0.3;1.3
Montgomery;Illinois;IL;30;frontier status, population size, poverty, age;57;30396;43;12.5;23;60;14;3;95.3;3.9;0.2;0.3;1.1
Morgan;Illinois;IL;30;frontier status, population size, poverty, age;57;35722;63;11.7;23.4;60.9;13.1;2.6;93;5.5;0.2;0.6;1.5
Moultrie;Illinois;IL;57;frontier status, population size, poverty, age, population density;42;14510;43;8.4;24.6;57.7;15.2;2.5;99.2;0.3;0.1;0.1;0.6
Ogle;Illinois;IL;45;frontier status, population size, poverty, age, population density;38;54290;72;8;25.5;60.5;11.8;2.2;97.7;0.7;0.3;0.5;7.6
Peoria;Illinois;IL;15;frontier status, population size, poverty, age;23;182328;294;13.4;26.7;59.4;11.7;2.2;78.7;16.9;0.2;2.3;2.6
Perry;Illinois;IL;40;frontier status, population size, poverty, age;62;22815;52;13.3;22.5;62.2;12.8;2.5;90.4;8.5;0.3;0.4;2.1
Piatt;Illinois;IL;55;frontier status, population size, poverty, age, population density;47;16680;38;6.1;24;59.9;13.4;2.7;98.7;0.4;0;0.4;0.7
Pike;Illinois;IL;62;frontier status, population size, poverty, age, population density;32;17099;21;12.5;22.9;58;15.3;3.8;97.8;1.5;0.1;0.3;0.6
Pope;Illinois;IL;61;frontier status, population size, poverty, age, population density;32;4211;11;14;20.8;59.5;16.6;3.1;93.5;4.9;0.7;0.3;1.1
Pulaski;Illinois;IL;76;frontier status, population size, poverty, age, population density;38;6794;34;19.8;27.6;57.1;12.6;2.6;67.6;30.9;0;1;1.5
Putnam;Illinois;IL;57;frontier status, population size, poverty, age, population density;42;6094;38;6.5;23.4;60.1;13.9;2.6;98.5;0.7;0.3;0.4;3.8
Randolph;Illinois;IL;30;frontier status, population size, poverty, age;57;33122;57;11.4;22;63;12.3;2.6;89.9;9.2;0.1;0.3;1.7
Richland;Illinois;IL;40;frontier status, population size, poverty, age;62;15798;44;12;24.1;57.4;15.7;2.7;98.5;0.5;0.1;0.6;0.8
Rock Island;Illinois;IL;16;frontier status, population size, poverty, age;27;147808;346;11.6;24.7;59.8;12.8;2.6;89.1;7.8;0.3;1.3;10
St. Clair;Illinois;IL;5;frontier status, population size, poverty;25;260067;392;14.5;27.5;59.9;10.8;1.8;67.8;29.5;0.3;1.2;2.6
Saline;Illinois;IL;50;frontier status, population size, poverty, age, population density;27;26072;68;15;24.7;56.8;15.5;3;94.3;4.5;0.3;0.2;1.1
Sangamon;Illinois;IL;11;frontier status, population size, poverty, age;44;192789;222;10.1;25;61.4;11.5;2.1;86.8;10.4;0.2;1.4;1.2
Schuyler;Illinois;IL;59;frontier status, population size, poverty, age, population density;32;7073;16;9.5;22.4;59;15.6;3;98.9;0.8;0;0.2;0.8
Scott;Illinois;IL;56;frontier status, population size, poverty, age, population density;39;5412;22;9.6;23.9;58.8;14.2;3.2;99.5;0;0.2;0.2;0.2
Shelby;Illinois;IL;55;frontier status, population size, poverty, age, population density;47;22322;29;9.4;24.3;57.6;15.1;2.9;99.2;0.2;0.1;0.2;0.5
Stark;Illinois;IL;54;frontier status, population size, poverty, age, population density;38;6169;21;9.2;24;56.7;15.7;3.6;99.2;0.1;0.1;0.2;1.1
Stephenson;Illinois;IL;27;frontier status, population size, poverty, age;25;47965;85;10.2;25;57.5;14.5;2.9;89.6;7.9;0.2;0.9;2.1
Tazewell;Illinois;IL;12;frontier status, population size, poverty, age;57;129999;200;8.1;23.9;60.7;13.2;2.2;97.5;1.1;0.2;0.6;1.3
Union;Illinois;IL;64;frontier status, population size, poverty, age, population density;41;18202;44;13.7;23.2;59.7;14.2;2.9;97.6;1;0.5;0.4;3.5
Vermilion;Illinois;IL;24;frontier status, population size, poverty, age;35;82344;92;14;25.5;58.3;13.7;2.4;87.1;11.2;0.2;0.6;3.4
Wabash;Illinois;IL;40;frontier status, population size, poverty, age;62;12570;56;11.4;23.7;59.5;13.5;3.3;98.1;0.5;0.1;0.6;0.9
Warren;Illinois;IL;60;frontier status, population size, poverty, age, population density;48;17558;32;11;24.3;59.2;13.9;2.6;96.5;2;0.2;0.7;4.5
Washington;Illinois;IL;57;frontier status, population size, poverty, age, population density;42;14922;27;7.2;24.4;59.9;13.1;2.6;98.7;0.4;0.2;0.2;1
Wayne;Illinois;IL;59;frontier status, population size, poverty, age, population density;32;16796;24;12;23.3;57.9;15.7;3.2;98.6;0.4;0.2;0.4;0.6
White;Illinois;IL;64;frontier status, population size, poverty, age, population density;41;15284;31;12;20.8;58.5;16.8;3.9;98.7;0.4;0.2;0.1;0.7
Whiteside;Illinois;IL;18;frontier status, population size, poverty, age;20;59863;87;9.4;24.8;58.5;14;2.7;97.1;1.3;0.3;0.5;9.4
Will;Illinois;IL;10;frontier status, population size, poverty, age;36;642813;768;6.7;29.1;62.8;7.1;1;84.2;10.7;0.3;3.5;12.7
Williamson;Illinois;IL;24;frontier status, population size, poverty, age;35;63617;150;13.6;22.8;60.8;13.9;2.5;95;3.1;0.3;0.6;1.6
Winnebago;Illinois;IL;10;frontier status, population size, poverty, age;36;288695;562;12.3;26.7;60.6;10.9;1.8;85;11;0.4;2.1;9.5
Woodford;Illinois;IL;47;frontier status, population size, poverty, age, population density;34;37448;71;6;25.5;60.4;11.7;2.4;98.3;0.5;0.1;0.5;1
Adams;Indiana;IN;48;frontier status, population size, poverty, age, population density;31;33849;100;9.9;31.9;54.7;10.8;2.5;99;0.2;0.1;0.3;3.5
Allen;Indiana;IN;10;frontier status, population size, poverty, age;36;344006;523;10.2;28.9;59.8;9.6;1.7;84.4;11.7;0.4;1.8;5.2
Bartholomew;Indiana;IN;17;frontier status, population size, poverty, age;32;73540;181;8.3;26.9;60.2;11.5;1.5;94.4;2;0.2;2.6;3.4
Benton;Indiana;IN;57;frontier status, population size, poverty, age, population density;42;9039;22;7.5;27.7;56.7;12.7;2.8;98.2;0.5;0;0.1;2.7
Blackford;Indiana;IN;55;frontier status, population size, poverty, age, population density;47;13849;84;9.2;24.4;59.3;13.7;2.6;98.5;0.2;0.4;0.2;0.6
Boone;Indiana;IN;48;frontier status, population size, poverty, age, population density;31;52061;123;5.8;27.4;61.3;9.8;1.5;97.2;0.7;0.2;1.2;1.7
Brown;Indiana;IN;37;frontier status, population size, poverty, age;30;15154;49;8.2;22.4;64.1;12.1;1.4;98.5;0.5;0.1;0.4;0.9
Carroll;Indiana;IN;55;frontier status, population size, poverty, age, population density;47;20426;55;7.5;25.5;60.8;11.5;2.1;99.2;0.3;0.1;0.1;3.7
Cass;Indiana;IN;26;frontier status, population size, poverty, age;40;40130;97;9.7;26.6;59.5;11.8;2.2;96.8;1.6;0.5;0.6;10
Clark;Indiana;IN;17;frontier status, population size, poverty, age;32;101592;271;9.4;25.1;62.5;10.9;1.6;90.5;7.1;0.3;0.8;2.6
Clay;Indiana;IN;26;frontier status, population size, poverty, age;40;27142;76;9.6;26.2;59.5;12.2;2.2;98.3;0.6;0.3;0.2;0.7
Clinton;Indiana;IN;27;frontier status, population size, poverty, age;25;34091;84;9.1;27.7;58.1;12.1;2.1;98.7;0.4;0.2;0.3;11.5
Crawford;Indiana;IN;39;frontier status, population size, poverty, age;51;11216;37;12.9;25.4;61.6;11.5;1.5;98.9;0.2;0.4;0.4;1.2
Daviess;Indiana;IN;31;frontier status, population size, poverty, age;22;30466;71;12.4;29.7;56;12.1;2.2;98.5;0.6;0.2;0.3;3.2
Dearborn;Indiana;IN;48;frontier status, population size, poverty, age, population density;31;49082;161;6.8;26.7;61.7;10.2;1.4;98;0.8;0.2;0.4;0.7
Decatur;Indiana;IN;47;frontier status, population size, poverty, age, population density;34;25184;68;9;27.2;58.9;12;1.9;98.2;0.2;0.1;1.2;0.9
De Kalb;Indiana;IN;48;frontier status, population size, poverty, age, population density;31;41659;115;7;28;60.2;10;1.8;98.3;0.4;0.3;0.3;1.8
Delaware;Indiana;IN;14;frontier status, population size, poverty, age;40;116362;296;13.4;24.5;61.5;12.1;1.9;91.1;6.8;0.2;0.9;1.2
Dubois;Indiana;IN;48;frontier status, population size, poverty, age, population density;31;40858;95;5.6;26.8;59.8;11.5;1.9;99;0.2;0.1;0.4;4.4
Elkhart;Indiana;IN;12;frontier status, population size, poverty, age;57;195362;421;9.5;29.7;59.3;9.3;1.7;91.6;5.5;0.3;1.2;12.4
Fayette;Indiana;IN;28;frontier status, population size, poverty, age;39;24885;116;10.4;24.7;59.8;13.4;2.1;97.7;1.6;0;0.3;0.6
Floyd;Indiana;IN;17;frontier status, population size, poverty, age;32;71997;486;9.2;26;61.5;10.8;1.7;93.1;4.9;0.2;0.7;1.5
Fountain;Indiana;IN;55;frontier status, population size, poverty, age, population density;47;17462;44;9.3;26;57.3;14.2;2.4;99;0.2;0.2;0.3;1.8
